"sequence","support","pattern"
"<{F},{H},{M}>",0.0059937966300612,3
"<{D},{K}>",0.0059937966300612,2
"<{A},{F},{B}>",0.0059937966300612,3
"<{F},{A},{H}>",0.00597982507614497,3
"<{E},{M},{C}>",0.00595188196831252,3
"<{U},{A}>",0.00595188196831252,2
"<{C},{H},{A}>",0.00592393886048006,3
"<{F},{H},{C}>",0.00589599575264761,3
"<{C},{A},{B}>",0.00589599575264761,3
"<{T},{A},{M}>",0.00585408109089893,3
"<{M},{H},{K}>",0.00585408109089893,3
"<{M},{B},{H}>",0.0058401095369827,3
"<{C},{H},{M}>",0.00582613798306648,3
"<{A},{M},{H}>",0.00582613798306648,3
"<{T},{H},{C}>",0.00582613798306648,3
"<{C,T}>",0.00579819487523402,2
"<{I},{F}>",0.00579819487523402,2
"<{C},{K},{T}>",0.0057842233213178,3
"<{T},{M},{K}>",0.00574230865956912,3
"<{I},{T}>",0.00571436555173666,2
"<{E},{A},{T}>",0.00571436555173666,3
"<{M},{K},{A}>",0.00570039399782044,3
"<{E},{C},{A}>",0.00565847933607176,3
"<{E},{A},{C}>",0.00564450778215553,3
"<{E},{F},{C}>",0.0056305362282393,3
"<{M},{A},{I}>",0.00561656467432308,3
"<{F},{T},{S}>",0.00560259312040685,3
"<{M},{S},{F}>",0.00556067845865817,3
"<{E},{D}>",0.00553273535082572,2
"<{T},{K},{C}>",0.00553273535082572,3
"<{C},{K},{F}>",0.00551876379690949,3
"<{I},{M}>",0.00549082068907704,2
"<{E},{U}>",0.00546287758124459,2
"<{T},{B},{A}>",0.00546287758124459,3
"<{F},{B},{A}>",0.00546287758124459,3
"<{M},{S},{T}>",0.00540699136557968,3
"<{T},{A},{S}>",0.00539301981166345,3
"<{E},{C},{F}>",0.00539301981166345,3
"<{E},{T},{F}>",0.00537904825774723,3
"<{E},{M},{A}>",0.00537904825774723,3
"<{G},{F}>",0.00530919048816609,2
"<{C},{B},{H}>",0.00529521893424987,3
"<{T},{A},{H}>",0.00528124738033364,3
"<{F},{K},{H}>",0.00526727582641741,3
"<{H},{T},{F}>",0.00526727582641741,3
"<{M},{C},{D}>",0.00526727582641741,3
"<{E},{A},{F}>",0.00525330427250119,3
"<{C},{H},{B}>",0.00525330427250119,3
"<{T},{K},{F}>",0.00523933271858496,3
"<{H},{G}>",0.00521138961075251,2
"<{T},{M},{E}>",0.00519741805683628,3
"<{I},{C}>",0.00519741805683628,2
"<{H},{F},{T}>",0.00516947494900383,3
"<{T},{H},{M}>",0.00516947494900383,3
"<{F},{M},{S}>",0.00508564562550647,3
"<{F},{K},{M}>",0.00504373096375779,3
"<{E},{F},{A}>",0.00502975940984156,3
"<{A},{H},{T}>",0.00498784474809288,3
"<{E},{T},{A}>",0.00498784474809288,3
"<{F},{H},{A}>",0.00498784474809288,3
"<{G},{M}>",0.00495990164026043,2
"<{H},{I}>",0.0049459300863442,2
"<{F},{B},{H}>",0.00491798697851175,3
"<{F},{A},{E}>",0.00491798697851175,3
"<{A},{E},{C}>",0.00491798697851175,3
"<{B},{I}>",0.00490401542459552,2
"<{G},{C}>",0.0048900438706793,2
"<{M},{K},{B}>",0.0048900438706793,3
"<{H},{T},{C}>",0.00487607231676307,3
"<{F},{A},{B}>",0.00484812920893062,3
"<{H},{C},{T}>",0.00483415765501439,3
"<{T},{B},{H}>",0.00482018610109816,3
"<{M},{E},{H}>",0.00482018610109816,3
"<{A},{M},{B}>",0.00482018610109816,3
"<{T},{A},{B}>",0.00480621454718194,3
"<{F},{H},{B}>",0.00480621454718194,3
"<{H},{M},{A}>",0.00480621454718194,3
"<{F},{N}>",0.00479224299326571,2
"<{A},{C},{K}>",0.00479224299326571,3
"<{S},{U}>",0.00477827143934948,2
"<{C},{A},{K}>",0.00477827143934948,3
"<{M},{C},{I}>",0.00477827143934948,3
"<{A},{P}>",0.00475032833151703,2
"<{A},{T},{K}>",0.00475032833151703,3
"<{M},{S},{C}>",0.00472238522368458,3
"<{A},{S},{T}>",0.00469444211585212,3
"<{A},{E},{T}>",0.00469444211585212,3
"<{D},{S}>",0.00469444211585212,2
"<{A},{M},{E}>",0.0046804705619359,3
"<{T},{H},{B}>",0.0046804705619359,3
"<{H},{T},{M}>",0.00466649900801967,3
"<{C},{A},{E}>",0.00466649900801967,3
"<{E},{A},{S}>",0.00465252745410345,3
"<{F},{A},{K}>",0.00463855590018722,3
"<{H},{M},{T}>",0.00461061279235477,3
"<{C},{K},{H}>",0.00461061279235477,3
